,text,sentiment,negative_reason,clean,twitter_handles,hashtags_all
83,bRT newjonnyberlin CoronaVirusnnQUESTION nnWhy does covid affect BAME more than others you are not,1,,bRT newjonnyberlin CoronaVirusnnQUESTION nnWhy covid affect BAME,@newjonnyberlin,#CoronaVirus #covid #BAME
84,bRT jamieo33 politico Who wants to bet TrumpCrimeFamily already spent all those GOP prepaid nonrefundable booking fees,1,,bRT jamieo33 politico Who bet TrumpCrimeFamily spent GOP prepaid nonrefundable booking fees,@jamieo33 @politico,#TrumpCrimeFamily #GOP
85,bRT friseuringo Cold and frost do not destroy itnnCoronavirus,0,covid19,bRT friseuringo Cold frost destroy itnnCoronavirus,@friseuringo,#Coronavirus
86,bJWeber988 LindseyGrahamSC What will be most delicious is that he and the GOP will be destroyed The rest of us will heal and,1,,bJWeber988 LindseyGrahamSC What will delicious GOP will destroyed The rest will heal,@JWeber988 @LindseyGrahamSC,#GOP
87,bHow does a person who took nominal government salary for decades amass 10000000 including multiple houses and,1,,bHow person nominal government salary decades amass 10000000 including multiple houses,,
88,bJoin WokeSocieties and myself at 5pm PST 8PM EST bring your questions and popcorn Patriotic chat and news,1,,bJoin WokeSocieties 5pm PST 8PM EST bring questions popcorn Patriotic chat news,,#WokeSocieties
89,bRT joangrande Dear Universe Trump is a  liar bullshit  this is not a difference in party election this is a,0,others,bRT joangrande Dear Universe Trump liar bullshit difference party election,@joangrande,
90,brealDonaldTrump Donald Trump BOTCHED the timing of the pandemic response AND the pandemic response TrumpCrimeFamily,1,,brealDonaldTrump Donald Trump BOTCHED timing pandemic response AND pandemic response TrumpCrimeFamily,@realDonaldTrump,#TrumpCrimeFamily
91,bPhillyPolice YOU HAVE BEEN TRAINED IN APPREHENSION TACTICS NONLETHAL YET YOU STILL MURDER MENTALLY ILL BLACK,0,others,bPhillyPolice YOU HAVE BEEN TRAINED IN APPREHENSION TACTICS NONLETHAL YET YOU STILL MURDER MENTALLY ILL BLACK,@PhillyPolice,
92,bRT patapata_patao8 If Biden wins the United States will be under Chinese  hunterbiden biden Newyorkpost,1,,bRT patapata_patao8 If Biden wins United States will Chinese hunterbiden biden Newyorkpost,@patapata_patao8,#Nobiden #hunterbiden #biden #Newyorkpost
93,bSimply staggering realDonaldTrump DonaldJTrumpJr EricTrump ChinaJoe MAGA BuildTheWall,1,,bSimply staggering realDonaldTrump DonaldJTrumpJr EricTrump ChinaJoe MAGA BuildTheWall,@realDonaldTrump @DonaldJTrumpJr @EricTrump,#ChinaJoe #MAGA #BuildTheWall
94,bjoshgad I absentee ballot because I never know if going to have to work on voting day or not When i,0,discrimination,bjoshgad I absentee ballot I going work voting day When,@joshgad,
95,bPatrickNova6 realDonaldTrump And getting damn tiresome BidenHarris2020,0,covid19,bPatrickNova6 realDonaldTrump And damn tiresome BidenHarris2020,@PatrickNova6 @realDonaldTrump,#BidenHarris2020
96,bRT KrisB_Brown I am volunteering as a poll observer in VA today Steady voting No more than half an hour wait No intimidation to,0,covid19,bRT KrisB_Brown I volunteering poll observer VA today Steady voting No half hour wait No intimidation,@KrisB_Brown,
97,bMy household is split 2 Republicans and 3 Democrats BidenHarris2020 not only secured all 5 votes we all votedbluedownballot,1,,bMy household split 2 Republicans 3 Democrats BidenHarris2020 secured 5 votes votedbluedownballot,,#BidenHarris2020 #votedbluedownballot
98,bPSA One negative COVID19 test is not a free pass to Hangout with all your friends nTesting is important,1,,bPSA One negative COVID19 test free pass Hangout friends nTesting,,#negative #COVID19 #Hangout #friends #important
99,bStayFree Evolve America BE NOT AFRAID TrumpsLastStand BlackVoicesForTrump hear this Thanks for the,1,,bStayFree Evolve America BE NOT AFRAID TrumpsLastStand BlackVoicesForTrump hear Thanks,,#StayFree #TrumpsLastStand #BlackVoicesForTrump
100,bRT TimFaulkner81 realDonaldTrump Voting ends November 3rd Then we count ALL  sound really desperate,0,others,bRT TimFaulkner81 realDonaldTrump Voting ends November 3rd Then count ALL sound desperate,@TimFaulkner81 @realDonaldTrump,#BidenHarris2020
101,bRT DrRobDavidson An angry individual came into my hospital in rural Michigan refusing to wear a mask threatening to cough all over us,0,covid19,bRT DrRobDavidson An angry individual hospital rural Michigan refusing wear mask threatening cough,@DrRobDavidson,
102,bIf COVID19 has left you without a job and you are struggling to find work because you lack a high school,0,covid19,bIf COVID19 left job struggling find work lack high school,,#COVID
103,bDonaldJTrumpJr As long as your daddy doesnt try to hawk  then it would be doomed before it got off,0,covid19,bDonaldJTrumpJr As long daddy doesnt hawk doomed,@DonaldJTrumpJr,
104,bQUESTION Is where you find new andor excessive rules mandates dictates shutdowns and curfews where you,1,,bQUESTION Is find andor excessive rules mandates dictates shutdowns curfews,,#QUESTION
105,bRT angela4congress Trying to reassure all my progressive friends that if realDonaldTrump is reelected all of Californias horrible,1,,bRT angela4congress Trying reassure progressive friends realDonaldTrump reelected Californias horrible,@angela4congress @realDonaldTrump,
106,bRT johnlundin Its Friday eveningnThere are only 4 days until November  cannot waste a single  whatever you can from,0,crime,bRT johnlundin Its Friday eveningnThere 4 days November waste single,@johnlundin,#Friday
107,bRT ResistWitch CNNPR PatriciaRork kirstiealley With that epic burn will stroll on to the polls and cast my vote for BidenHarris2020,1,,bRT ResistWitch CNNPR PatriciaRork kirstiealley With epic burn will stroll polls cast vote BidenHarris2020,@ResistWitch @CNNPR @PatriciaRork @kirstiealley,#BidenHarris2020
108,bRT KnicoleBurchett 96 miles of love for our country and our president realDonaldTrump RedWaveRising2020 4MoreYears MAGA,1,,bRT KnicoleBurchett 96 miles love country president realDonaldTrump RedWaveRising2020 4MoreYears MAGA,@KnicoleBurchett @realDonaldTrump,#RedWaveRising2020 #4MoreYears #MAGA
109,bLindseyGrahamSC Youre proud of your GOPHypocrisynnLeningradLindsey LindseyMustGo,1,,bLindseyGrahamSC Youre GOPHypocrisynnLeningradLindsey LindseyMustGo,@LindseyGrahamSC,#GOPHypocrisy #LeningradLindsey #LindseyMustGo
110,bRT folkbum 110 Today DHSWI reported 4870 new COVID cases in Wisconsin 2nd highest report of the pandemic We doubled our case,1,,bRT folkbum 110 Today DHSWI reported 4870 COVID cases Wisconsin 2nd highest report pandemic We doubled case,@folkbum @DHSWI,#COVID #Wisconsin
111,bRT RemiBald We do not get a doover wake up on November 4th regretting that you did not vote nTogether we can and we will,0,crime,bRT RemiBald We doover wake November 4th regretting vote nTogether will,@RemiBald,
112,brealDonaldTrump says that we thru our here in California Boy is DumbFuckDonnie really fucking,1,,brealDonaldTrump California Boy DumbFuckDonnie fucking,@realDonaldTrump,#DumbFuckDonnie
113,bRT derailedgizmo 4 days left until Election Day ready to run through the tape  win this Wanna help us flip Pennsylvania back,1,,bRT derailedgizmo 4 days left Election Day ready tape win Wan help flip Pennsylvania,@derailedgizmo,
114,bRT andrewcurryla We voted theprincedylan nnvote BidenHarris2020,1,,bRT andrewcurryla We voted theprincedylan nnvote BidenHarris2020,@andrewcurryla @theprincedylan,#vote #BidenHarris2020
115,bRT arabdigest The war in Yemen may not last long into a Biden administrationnnListen to the complete podcast here,0,covid19,bRT arabdigest The war Yemen long Biden administrationnnListen complete podcast,@arabdigest,#Yemen #Biden
116,bRollingStone Oh please the gops evangelical base have been crying alligator tears while spouting those very,0,crime,bRollingStone Oh gops evangelical base crying alligator tears spouting,@RollingStone,#gop
117,bGOP Wisconsin TrumpVirus numbers climbingnCoronavirus Cases 220092nDeaths 1972nTrumpKnew,1,,bGOP Wisconsin TrumpVirus numbers climbingnCoronavirus Cases 220092nDeaths 1972nTrumpKnew,@GOP,#TrumpVirus #TrumpKnew
118,bRT DHLmao FRAUD ELECTION The Democrats is doing everything they cannKAG KAG2020 KAG2020TRUMPVICTORY KAG2020LandslideVictory,0,covid19,bRT DHLmao FRAUD ELECTION The Democrats cannKAG KAG2020 KAG2020TRUMPVICTORY KAG2020LandslideVictory,@DHLmao,#KAG #KAG2020 #KAG2020TRUMPVICTORY #KAG2020LandslideVictory
119,bRT jim1036 Even the Eagles are pulling for Joe VoteBlue BidenHarris2020,1,,bRT jim1036 Even Eagles pulling Joe VoteBlue BidenHarris2020,@jim1036,#VoteBlue #BidenHarris2020
120,bRT DennisClend23 amyisfedtfup GOP IvankaTrump I wish 90000 Americans been infected  900 died yesterday along with the,0,covid19,bRT DennisClend23 amyisfedtfup GOP IvankaTrump I 90000 Americans infected 900 died yesterday,@DennisClend23 @amyisfedtfup @GOP @IvankaTrump,
121,bWaiting in line to vote EarlyVoting BidenHarris2020 BidenHarrisToSaveAmerica,1,,bWaiting vote EarlyVoting BidenHarris2020 BidenHarrisToSaveAmerica,,#EarlyVoting #BidenHarris2020 #BidenHarrisToSaveAmerica
122,bRT JudicialWatch Chris Farrell The FBI knew about HunterBidens laptop a year ago Where was FBI Director WraynnRead more,1,,bRT JudicialWatch Chris Farrell The FBI knew HunterBidens laptop year ago Where FBI Director WraynnRead,@JudicialWatch,#HunterBiden
123,bKilling animals is killing  COVID19nCovid19UK COVIDn,0,discrimination,bKilling animals killing COVID19nCovid19UK COVIDn,,#COVIDIOTS #COVID19 #Covid19UK #COVID
124,bRT Scothika AndrewForTrump 44Murch WE ARE THE MOVEMENT MAGA2020LandslideVictory MAGA Trump2020 VoteRed RedWave,1,,bRT Scothika AndrewForTrump 44Murch WE ARE THE MOVEMENT MAGA2020LandslideVictory MAGA Trump2020 VoteRed RedWave,@Scothika @AndrewForTrump @44Murch,#MAGA2020LandslideVictory #MAGA #Trump2020 #VoteRed #RedWave
125,bRT liarpoliticians America has a choice vote President Trump who stands up to China and tries to get countries to talk or 40 year,1,,bRT liarpoliticians America choice vote President Trump stands China countries talk 40 year,@liarpoliticians,
126,bGOPChairwoman   has no COVID plan Thats why we have 4 of the worlds population,1,,bGOPChairwoman COVID plan Thats 4 worlds population,@GOPChairwoman,
127,bRT IndianEmbJkt  Pradeep Kumar Rawat interacted live with idntimes Media group on a diverse range of topics from IndoIndonesia,1,,bRT IndianEmbJkt Pradeep Kumar Rawat interacted live idntimes Media group diverse range topics IndoIndonesia,@IndianEmbJkt @idntimes,
128,bRT bisuclef Trump kicked against the reelection of akin_adesina as  he is vigorously working against the election,1,,bRT bisuclef Trump kicked reelection akin_adesina vigorously working election,@bisuclef @akin_adesina @AfDB_Group,
129,bGOP IT IS A HOAX nIT IS FAKE NEWS nnFinally some accurate use for this BS that trump has been selling,0,discrimination,bGOP IT IS A HOAX nIT IS FAKE NEWS nnFinally accurate BS trump selling,@GOP,
130,bDemocrat Hypocrisy is NOT hard to find Its all around,0,corruption,bDemocrat Hypocrisy NOT hard find Its,,#Democrat #Hypocrisy
131,bHave you gotten a chance to use BigLocalNews and embeddable COVID19 Global Case Mapper Just like,1,,bHave chance BigLocalNews embeddable COVID19 Global Case Mapper Just,@BigLocalNews,
132,bRT ToddKolod Our closing  nBidenHarris2020ToSaveAmerica nTrumpIsCompromised,1,,bRT ToddKolod Our closing nBidenHarris2020ToSaveAmerica nTrumpIsCompromised,@ToddKolod,#EarlyVoting #BidenHarris2020ToSaveAmerica #TrumpIsCompromised
133,bAcosta realDonaldTrump senatemajldr LindseyGrahamSC mattgaetz fantastic numbers Mr President  completely,1,,bAcosta realDonaldTrump senatemajldr LindseyGrahamSC mattgaetz fantastic numbers Mr President completely,@Acosta @realDonaldTrump @senatemajldr @LindseyGrahamSC @mattgaetz,
134,bPlease donate covid community,1,,bPlease donate covid community,,#covid #community
135,bRT KarenPence MAKE WISCONSIN RED AGAIN realDonaldTrump Mike_Pence TeamTrump MAGA,1,,bRT KarenPence MAKE WISCONSIN RED AGAIN realDonaldTrump Mike_Pence TeamTrump MAGA,@KarenPence @realDonaldTrump @Mike_Pence @TeamTrump,#MAGA
